,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
98,2023-06-30,000300,沪深300,CSI 300,600011,华能国际,Huaneng Power International Inc,上海证券交易所,Shanghai Stock Exchange,0.216
99,2023-06-30,000300,沪深300,CSI 300,600674,川投能源,Sichuan Chuantou Energy Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.178
100,2023-06-30,000300,沪深300,CSI 300,002459,晶澳科技,"JA Solar Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.364
101,2023-06-30,000300,沪深300,CSI 300,002460,赣锋锂业,Ganfeng Lithium Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.364
102,2023-06-30,000300,沪深300,CSI 300,000338,潍柴动力,Wei Chai Power Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.358
103,2023-06-30,000300,沪深300,CSI 300,601998,中信银行,China Citic Bank Corporation Limited,上海证券交易所,Shanghai Stock Exchange,0.097
104,2023-06-30,000300,沪深300,CSI 300,601600,中国铝业,Aluminum Corporation of China Limited,上海证券交易所,Shanghai Stock Exchange,0.23
105,2023-06-30,000300,沪深300,CSI 300,600196,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.208
106,2023-06-30,000300,沪深300,CSI 300,600276,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,上海证券交易所,Shanghai Stock Exchange,1.132
107,2023-06-30,000300,沪深300,CSI 300,600000,浦发银行,Shanghai Pudong Development Bank Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.45
108,2023-06-30,000300,沪深300,CSI 300,600426,华鲁恒升,Shandong Hualu-Hengsheng Chemical Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.241
109,2023-06-30,000300,沪深300,CSI 300,601899,紫金矿业,Zijin Mining Group Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.991
110,2023-06-30,000300,沪深300,CSI 300,002493,荣盛石化,Rongsheng Petro Chemical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.187
111,2023-06-30,000300,沪深300,CSI 300,002466,天齐锂业,"Tianqi Lithium Industries, Inc.",深圳证券交易所,Shenzhen Stock Exchange,0.383
112,2023-06-30,000300,沪深300,CSI 300,601888,中国中免,China Tourism Group Duty Free Corporation Limited,上海证券交易所,Shanghai Stock Exchange,0.571
113,2023-06-30,000300,沪深300,CSI 300,002410,广联达,Glodon Software Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.229
114,2023-06-30,000300,沪深300,CSI 300,002180,纳思达,Ninestar Corporation,深圳证券交易所,Shenzhen Stock Exchange,0.18
115,2023-06-30,000300,沪深300,CSI 300,601877,正泰电器,Zhejiang Chint Electrics Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.157
116,2023-06-30,000300,沪深300,CSI 300,002230,科大讯飞,"Iflytek Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.666
117,2023-06-30,000300,沪深300,CSI 300,601872,招商轮船,"China Merchants Energy Shipping Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.1
118,2023-06-30,000300,沪深300,CSI 300,601166,兴业银行,Industrial Bank,上海证券交易所,Shanghai Stock Exchange,1.204
119,2023-06-30,000300,沪深300,CSI 300,601601,中国太保,China Pacific Insurance (Group) Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.471
120,2023-06-30,000300,沪深300,CSI 300,600999,招商证券,China Merchants Securities Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.266
121,2023-06-30,000300,沪深300,CSI 300,002414,高德红外,Wuhan Guide Infrared Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.07
122,2023-06-30,000300,沪深300,CSI 300,002179,中航光电,"AVIC Jonhon Optronic Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.305
123,2023-06-30,000300,沪深300,CSI 300,601788,光大证券,Everbright Securities Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.164
124,2023-06-30,000300,沪深300,CSI 300,002142,宁波银行,Bank of Ningbo Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.53
125,2023-06-30,000300,沪深300,CSI 300,601009,南京银行,Bank of Nanjing Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.219
126,2023-06-30,000300,沪深300,CSI 300,002074,国轩高科,"GUOXUAN HIGH-TECH CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange,0.156
127,2023-06-30,000300,沪深300,CSI 300,600606,绿地控股,Greenland Holdings Corporation Limited,上海证券交易所,Shanghai Stock Exchange,0.061
128,2023-06-30,000300,沪深300,CSI 300,600660,福耀玻璃,"Fuyao Glass Industry Group Co.,Ltd",上海证券交易所,Shanghai Stock Exchange,0.304
129,2023-06-30,000300,沪深300,CSI 300,600732,爱旭股份,"Shanghai Aiko Solar Energy Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.178
130,2023-06-30,000300,沪深300,CSI 300,600741,华域汽车,HUAYU Automotive Systems Company Limited,上海证券交易所,Shanghai Stock Exchange,0.154
131,2023-06-30,000300,沪深300,CSI 300,600754,锦江酒店,"Shanghai Jin Jiang International Hotels Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.102
132,2023-06-30,000300,沪深300,CSI 300,600845,宝信软件,Shanghai Baosight Software Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.194
133,2023-06-30,000300,沪深300,CSI 300,600886,国投电力,"SDIC Power Holdings Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.2
134,2023-06-30,000300,沪深300,CSI 300,002352,顺丰控股,"S.F. Holding Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.584
135,2023-06-30,000300,沪深300,CSI 300,601699,潞安环能,Shanxi Lu'an Environmental Energy Development Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.103
136,2023-06-30,000300,沪深300,CSI 300,002252,上海莱士,Shanghai RAAS Blood Products Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.188
137,2023-06-30,000300,沪深300,CSI 300,601989,中国重工,China Shipbuilding Industry Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.291
138,2023-06-30,000300,沪深300,CSI 300,300033,同花顺,"Hithink Royalflush Information Network Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.199
139,2023-06-30,000300,沪深300,CSI 300,601857,中国石油,PetroChina Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.448
140,2023-06-30,000300,沪深300,CSI 300,601186,中国铁建,China Railway Construction Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.24
141,2023-06-30,000300,沪深300,CSI 300,601939,建设银行,China Construction Bank,上海证券交易所,Shanghai Stock Exchange,0.222
142,2023-06-30,000300,沪深300,CSI 300,601318,中国平安,Ping An Insurance (Group) Company of China Ltd,上海证券交易所,Shanghai Stock Exchange,2.66
143,2023-06-30,000300,沪深300,CSI 300,002129,TCL中环,"TCL Zhonghuan Renewable Energy Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.568
144,2023-06-30,000300,沪深300,CSI 300,601006,大秦铁路,Daqin Railway Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.234
145,2023-06-30,000300,沪深300,CSI 300,002415,海康威视,Hangzhou Hikvision Digital Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.82
146,2023-06-30,000300,沪深300,CSI 300,601377,兴业证券,Industrial Securities Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.224
147,2023-06-30,000300,沪深300,CSI 300,000800,一汽解放,"FAW Jiefang Group Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange,0.041
148,2023-06-30,000300,沪深300,CSI 300,002371,北方华创,"NAURA Technology Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.444
149,2023-06-30,000300,沪深300,CSI 300,002241,歌尔股份,GoerTek Inc,深圳证券交易所,Shenzhen Stock Exchange,0.225
150,2023-06-30,000300,沪深300,CSI 300,002311,海大集团,Guangdong Haid Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.206
151,2023-06-30,000300,沪深300,CSI 300,601328,交通银行,Bank of Communications Co LTD,上海证券交易所,Shanghai Stock Exchange,0.843
152,2023-06-30,000300,沪深300,CSI 300,601169,北京银行,Bank of Beijing Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.363
153,2023-06-30,000300,沪深300,CSI 300,000877,天山股份,Xinjiang Tianshan Cement Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.075
154,2023-06-30,000300,沪深300,CSI 300,000895,双汇发展,Henan Shuanghui Investment & Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.135
155,2023-06-30,000300,沪深300,CSI 300,000938,紫光股份,"Unisplendour Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.386
156,2023-06-30,000300,沪深300,CSI 300,600547,山东黄金,Shandong Gold-Mining Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.225
157,2023-06-30,000300,沪深300,CSI 300,600015,华夏银行,Hua Xia Bank Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.182
158,2023-06-30,000300,沪深300,CSI 300,600436,片仔癀,Zhangzhou Pientzehuang Pharmaceutical Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.457
159,2023-06-30,000300,沪深300,CSI 300,600029,南方航空,China Southern Airlines Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.172
160,2023-06-30,000300,沪深300,CSI 300,600584,长电科技,"JCET Group Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.235
161,2023-06-30,000300,沪深300,CSI 300,601799,星宇股份,Changzhou Xingyu Automotive Lighting Systems Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.093
162,2023-06-30,000300,沪深300,CSI 300,000963,华东医药,Huadong Medicine Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.201
163,2023-06-30,000300,沪深300,CSI 300,000983,山西焦煤,"Shanxi Coking Coal Energy Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.109
164,2023-06-30,000300,沪深300,CSI 300,600570,恒生电子,Hundsun Technologies Inc.,上海证券交易所,Shanghai Stock Exchange,0.356
165,2023-06-30,000300,沪深300,CSI 300,601336,新华保险,New China Life Insurance Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.162
