,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
469,2023-06-30,000906,中证800,CSI 800,300316,晶盛机电,"Zhejiang Jingsheng Mechanical & Electrical Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.181
470,2023-06-30,000906,中证800,CSI 800,601633,长城汽车,Great Wall Motor Co Ltd,上海证券交易所,Shanghai Stock Exchange,0.121
471,2023-06-30,000906,中证800,CSI 800,601669,中国电建,"Power Construction Corporation of China,Ltd",上海证券交易所,Shanghai Stock Exchange,0.154
472,2023-06-30,000906,中证800,CSI 800,601100,恒立液压,"Jiangsu Hengli Hydraulic CO., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.134
473,2023-06-30,000906,中证800,CSI 800,002624,完美世界,"Perfect World Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.089
474,2023-06-30,000906,中证800,CSI 800,300274,阳光电源,Sungrow Power Supply Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.472
475,2023-06-30,000906,中证800,CSI 800,002625,光启技术,"Kuang-Chi Technologies Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.09
476,2023-06-30,000906,中证800,CSI 800,000050,深天马A,Tianma Microelectronics Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.044
477,2023-06-30,000906,中证800,CSI 800,000060,中金岭南,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.048
478,2023-06-30,000906,中证800,CSI 800,000155,川能动力,SICHUAN NEW ENERGY POWER COMPANY LIMITED,深圳证券交易所,Shenzhen Stock Exchange,0.041
479,2023-06-30,000906,中证800,CSI 800,000156,华数传媒,"WASU MEDIA HOLDING CO., LTD",深圳证券交易所,Shenzhen Stock Exchange,0.031
480,2023-06-30,000906,中证800,CSI 800,000402,金 融 街,Financial Street Holding Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.021
481,2023-06-30,000906,中证800,CSI 800,000408,藏格矿业,ZANGGE MINING COMPANY LIMITED,深圳证券交易所,Shenzhen Stock Exchange,0.069
482,2023-06-30,000906,中证800,CSI 800,000415,渤海租赁,"Bohai Leasing Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.025
483,2023-06-30,000906,中证800,CSI 800,600988,赤峰黄金,"Chifeng Jilong Gold Mining Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.087
484,2023-06-30,000906,中证800,CSI 800,600985,淮北矿业,"Huaibei Mining Holdings Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.045
485,2023-06-30,000906,中证800,CSI 800,000001,平安银行,"Ping An Bank Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.424
486,2023-06-30,000906,中证800,CSI 800,000002,万科A,China Vanke Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.371
487,2023-06-30,000906,中证800,CSI 800,000009,中国宝安,"China Baoan Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.097
488,2023-06-30,000906,中证800,CSI 800,000012,南  玻A,CSG Holding Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.032
489,2023-06-30,000906,中证800,CSI 800,000021,深科技,"Shenzhen Kaifa Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.073
490,2023-06-30,000906,中证800,CSI 800,000027,深圳能源,Shenzhen Energy Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.037
491,2023-06-30,000906,中证800,CSI 800,000031,大悦城,"Grandjoy Holdings Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.018
492,2023-06-30,000906,中证800,CSI 800,000039,中集集团,China International Marine Containers (Group) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.049
493,2023-06-30,000906,中证800,CSI 800,000063,中兴通讯,ZTE Corporation,深圳证券交易所,Shenzhen Stock Exchange,0.565
494,2023-06-30,000906,中证800,CSI 800,000066,中国长城,"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange,0.104
495,2023-06-30,000906,中证800,CSI 800,000069,华侨城A,Shenzhen Overseas Chinese Town Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.07
496,2023-06-30,000906,中证800,CSI 800,000089,深圳机场,Shenzhen Airport Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.028
